DATE,TIME,ax,ay,az,gx,gy,gz,ma,mg,timePeriod,label
19/08/2022, 06:31:28,-1.4437037,-1.5753847,9.351752,-0.06719518,-0.008552114,-0.002443461,9.59277790989057,0.06778127300572337,32922,breaststroke
19/08/2022, 06:31:28,-1.4437037,-1.5753847,9.351752,-0.047647487,-0.007330383,-0.008552114,9.59277790989057,0.0489607620089406,32923,breaststroke
19/08/2022, 06:31:28,-1.5131354,-1.6496049,9.397242,-0.047647487,-0.007330383,-0.008552114,9.660172087806979,0.0489607620089406,32924,breaststroke
19/08/2022, 06:31:28,-1.5131354,-1.6496049,9.397242,-0.03176499,-0.004886922,-0.012217305,9.660172087806979,0.03438254251511216,32925,breaststroke
19/08/2022, 06:31:28,-1.532289,-1.5729905,9.461885,-0.03176499,-0.004886922,-0.012217305,9.713366316897917,0.03438254251511216,32926,breaststroke
19/08/2022, 06:31:28,-1.532289,-1.5729905,9.461885,-0.019547688,0.0,-0.0061086523,9.713366316897917,0.02047993489663479,32926,breaststroke
19/08/2022, 06:31:28,-1.5346833,-1.5729905,9.461885,-0.019547688,0.0,-0.0061086523,9.713744309749487,0.02047993489663479,32927,breaststroke
19/08/2022, 06:31:28,-1.5346833,-1.5729905,9.461885,-0.004886922,0.0036651916,0.008552114,9.713744309749487,0.010509723200823988,32928,breaststroke
19/08/2022, 06:31:28,-1.5490485,-1.5849615,9.392453,-0.004886922,0.0036651916,0.008552114,9.650379860217864,0.010509723200823988,32929,breaststroke
19/08/2022, 06:31:28,-1.5490485,-1.5849615,9.392453,0.0036651916,0.0061086523,0.012217305,9.650379860217864,0.014142552672647666,32930,breaststroke
19/08/2022, 06:31:28,-1.5179238,-1.5705963,9.315839,0.0036651916,0.0061086523,0.012217305,9.568475240012427,0.014142552672647666,32931,breaststroke
19/08/2022, 06:31:28,-1.5179238,-1.5705963,9.315839,0.002443461,0.0061086523,0.0061086523,9.568475240012427,0.008977848754261034,32932,breaststroke
19/08/2022, 06:31:28,-1.4772224,-1.5370775,9.382876,0.002443461,0.0061086523,0.0061086523,9.622014497690326,0.008977848754261034,32933,breaststroke
19/08/2022, 06:31:28,-1.4772224,-1.5370775,9.382876,-0.008552114,0.008552114,0.0,9.622014497690326,0.012094514966424823,32934,breaststroke
19/08/2022, 06:31:28,-1.496376,-1.532289,9.490616,-0.008552114,0.008552114,0.0,9.72927746669374,0.012094514966424823,32935,breaststroke
19/08/2022, 06:31:28,-1.496376,-1.532289,9.490616,-0.009773844,0.0061086523,0.0036651916,9.72927746669374,0.01209451477826925,32935,breaststroke
19/08/2022, 06:31:28,-1.5466543,-1.5490485,9.52174,-0.009773844,0.0061086523,0.0036651916,9.77011887888562,0.01209451477826925,32936,breaststroke
19/08/2022, 06:31:28,-1.5466543,-1.5490485,9.52174,-0.010995574,0.0,0.014660766,9.77011887888562,0.01832595765590668,32937,breaststroke
19/08/2022, 06:31:28,-1.5873557,-1.5682021,9.49301,-0.010995574,0.0,0.014660766,9.751727375823872,0.01832595765590668,32941,breaststroke
19/08/2022, 06:31:28,-1.5873557,-1.5682021,9.49301,-0.012217305,0.0012217305,0.03176499,9.751727375823872,0.034055393830385756,32942,breaststroke
19/08/2022, 06:31:29,-1.2497733,-0.7517793,9.560047,0.7648033,-0.034208454,-0.013439035,9.670657002379992,0.765685900978631,33675,breaststroke
19/08/2022, 06:31:29,-1.2497733,-0.7517793,9.560047,0.8002335,-0.034208454,0.014660766,9.670657002379992,0.801098485971471,33678,breaststroke
